Timestamp,What is your age group?,What is your gender?,What is your current occupation or professional status?,How many hours do you spend online daily ?,Which social media platforms do you use regularly? Select all that apply.,Have you ever clicked on a suspicious or unknown link while browsing or using social media?,I usually trust people I interact with online,I click on links before verifying their source,"Do you tend to share personal information online quickly when prompted, without much thought?",Have you heard of “social engineering” or "phising" as a cyber threat?,Which of the following do you recognize as social engineering tactics? Select all that apply.,"Do you regularly share personal details e.g., birthday, location, phone number on social media profiles?",Do you review and adjust privacy settings on your social media accounts?,Have you ever used public Wi-Fi networks for accessing your personal or academic accounts?,"Have you ever received suspicious emails, messages, or calls asking for your personal or financial information?",Have you ever been a victim of an online scam or identity theft?,"If yes, what type of scam did you experience?","If someone claiming to be university staff asks for your login credentials via email or social media, what would you do?","If you receive a message offering a prize or gift but requires personal information, how would you respond?",Do you use unique passwords for different online accounts?,Do you enable two-factor authentication 2FA on your important accounts?,How frequently do you update your passwords?,Do you consent to your anonymized responses being used for academic research purposes?,,,,,,,,,,,,
6/20/2025 12:02,25–34     ,Male ,Student ,2–4 hours ,Facebook ,Yes ,Disagree ,Neutral ,"Yes, frequently , ",Yes ,Fake social media profiles/friend requests     ,"Yes, always , ",Occasionally  ,Occasionally  ,No ,No ,Fraudulent phone call or SMS     ,Provide the information immediately     ,Report it to the platform or authorities     ,Sometimes  ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/19/2025 5:31,18–24     ,Female ,Student ,More than 8 hours   ,Facebook ,Yes ,Strongly Disagree  ,Agree ,Rarely ,Yes ,"Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,Rarely ,"Yes, frequently , ",Yes ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/2/2025 3:39,18–24     ,Female ,Student ,5–8 hours,"Facebook , Instagram , WhatsApp , Telegram ",No ,Neutral ,Disagree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      ",Never  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
7/9/2025 9:51,18–24     ,Female ,Student ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Agree ,Strongly Agree  ,Rarely ,Yes ,Fake social media profiles/friend requests     ,Never  ,"Yes, regularly , ",Occasionally  ,No ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/2/2025 19:24,18–24     ,Male ,Student ,2–4 hours ,Facebook ,Maybe ,Neutral ,Neutral ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,"Yes, regularly , ",Occasionally  ,Yes ,No ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/7/2025 20:34,18–24     ,Male ,Student ,More than 8 hours   ,Facebook ,Yes ,Strongly Disagree  ,Disagree ,Never  ,Yes ,Phishing emails requesting personal info     ,Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/1/2025 13:32,18–24     ,Female ,Student ,2–4 hours ,"Instagram , Telegram ",No ,Disagree ,Agree ,Never  ,Yes ,"Phishing emails requesting personal info     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Often ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
7/18/2025 6:52,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , Twitter / X  / , WhatsApp , Telegram ",Yes ,Agree ,Agree ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/19/2025 16:49,25–34     ,Male ,Student ,5–8 hours ,"Facebook , LinkedIn , WhatsApp , Telegram ",Yes ,Neutral ,Neutral ,Never  ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",Yes ,No ,,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/22/2025 13:44,25–34     ,Male ,Student ,2–4 hours ,"Facebook , Instagram , Twitter / X  / , Telegram ",Yes ,Agree ,Disagree ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      ",Sometimes  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Provide the information immediately     ,Provide the requested information immediately    ,Sometimes  ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/16/2025 16:34,18–24     ,Female ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram , Other Please Specify",Yes ,Disagree ,Disagree ,Sometimes  ,Yes ,"Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,"Yes, frequently , ",No ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/15/2025 16:46,25–34     ,Male ,Unemployed ,2–4 hours ,"Facebook , Instagram , TikTok , WhatsApp ",Maybe ,Agree ,Disagree ,Never  ,No ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Rarely ,Never  ,Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/25/2025 16:25,18–24     ,Male ,Student ,Less than 2 hours   ,"Facebook , Instagram , WhatsApp , Telegram , Other Please Specify",Yes ,Disagree ,Agree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,Occasionally  ,Rarely ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/13/2025 12:35,18–24     ,Female ,Student ,More than 8 hours   ,"Facebook , WhatsApp ",Maybe ,Agree ,Agree ,Rarely ,No ,Phone calls impersonating official staff      ,Rarely ,Rarely ,"Yes, frequently , ",Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Rarely ,I don’t know what 2FA is  2FA   ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/2/2025 14:08,25–34     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram ",No ,Strongly Agree  ,Agree ,Never  ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",No ,No ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,No ,,,,,,,,,,,,
6/29/2025 19:04,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram , Other Please Specify",Maybe ,Agree ,Agree ,"Yes, frequently , ",Yes ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,Yes ,No ,Other please specify     ,Provide the information immediately     ,Ignore or delete the message     ,Often ,No ,Every 1–3 months  – ,No ,,,,,,,,,,,,
7/17/2025 0:42,25–34     ,Male ,Job holder ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram ",No ,Agree ,Strongly Disagree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 18:36,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram ",No ,Neutral ,Neutral ,Never  ,No ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Always ,I don’t know what 2FA is  2FA   ,Once a year  ,Yes ,,,,,,,,,,,,
7/17/2025 12:23,18–24     ,Male ,Student ,2–4 hours ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram ",No ,Disagree ,Agree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Rarely ,"Yes, regularly , ","Yes, frequently , ",No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/21/2025 8:37,25–34     ,Male ,Student ,Less than 2 hours   ,Facebook ,Yes ,Strongly Disagree  ,Strongly Disagree  ,"Yes, frequently , ",Yes ,Phishing emails requesting personal info     ,"Yes, always , ","Yes, regularly , ","Yes, frequently , ",Yes ,Yes ,Phishing email  ,Provide the information immediately     ,Provide the requested information immediately    ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/6/2025 14:25,18–24     ,Female ,Student ,2–4 hours ,"Instagram , Telegram ",No ,Disagree ,Agree ,Never  ,Yes ,"Phishing emails requesting personal info     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Often ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
7/4/2025 11:03,18–24     ,Female ,Student ,More than 8 hours   ,"Facebook , WhatsApp ",Maybe ,Agree ,Agree ,Rarely ,No ,Phone calls impersonating official staff      ,Rarely ,Rarely ,"Yes, frequently , ",Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Rarely ,I don’t know what 2FA is  2FA   ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/10/2025 15:39,35–44    ,Male ,Job holder ,2–4 hours ,Facebook ,Maybe ,Agree ,Disagree ,Never  ,No ,None of the above   ,Sometimes  ,Never  ,Occasionally  ,Yes ,No ,,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Often ,I don’t know what 2FA is  2FA   ,Rarely or never    ,No ,,,,,,,,,,,,
6/24/2025 19:06,18–24     ,Male ,Job holder ,2–4 hours ,"Facebook , Instagram , WhatsApp ",No ,Neutral ,Neutral ,Sometimes  ,No ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/22/2025 1:25,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , WhatsApp , Telegram , Other Please Specify",Yes ,Strongly Agree  ,Strongly Agree  ,Sometimes  ,Yes ,Malware links in emails or messages     ,Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/2/2025 21:56,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Telegram ",Maybe ,Disagree ,Strongly Disagree  ,Never  ,Yes ,Phone calls impersonating official staff      ,Rarely ,Rarely ,"Yes, frequently , ",No ,No ,Fake social media profile or friend request       ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/20/2025 22:14,25–34     ,Male ,Student ,5–8 hours ,"Facebook , Instagram ",Yes ,Strongly Disagree  ,Strongly Disagree  ,Never  ,Yes ,Phishing emails requesting personal info     ,Sometimes  ,"Yes, regularly , ",Rarely ,Yes ,No ,Phishing email  ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/8/2025 6:44,25–34     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram ",No ,Strongly Agree  ,Agree ,Never  ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",No ,No ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,No ,,,,,,,,,,,,
6/22/2025 1:39,18–24     ,Male ,Student ,2–4 hours ,"Twitter / X  / , WhatsApp , Telegram ",Yes ,Neutral ,Disagree ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Never  ,Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Sometimes  ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
7/2/2025 2:58,18–24     ,Female ,Student ,More than 8 hours   ,Facebook ,No ,Disagree ,Agree ,Never  ,No ,None of the above   ,Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,No ,Other ,Ignore or delete the message     ,Ignore or delete the message     ,Sometimes  ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
7/10/2025 9:00,18–24     ,Male ,Job holder ,2–4 hours ,"Facebook , Instagram , WhatsApp ",No ,Neutral ,Neutral ,Sometimes  ,No ,None of the above   ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/9/2025 15:47,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Strongly Disagree  ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Malware links in emails or messages     ",Rarely ,Rarely ,Rarely ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/6/2025 18:49,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp ",Yes ,Disagree ,Agree ,Rarely ,Yes ,Malware links in emails or messages     ,Rarely ,Occasionally  ,Occasionally  ,No ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Sometimes  ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/14/2025 18:51,25–34     ,Male ,Unemployed ,2–4 hours ,"Facebook , Instagram , TikTok , WhatsApp ",Maybe ,Agree ,Disagree ,Never  ,No ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Rarely ,Never  ,Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/11/2025 4:31,18–24     ,Female ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Maybe ,Disagree ,Agree ,Sometimes  ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Sometimes  ,Occasionally  ,"Yes, frequently , ",No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Often ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/30/2025 6:42,25–34     ,Male ,Student ,5–8 hours ,"Facebook , LinkedIn , WhatsApp , Telegram ",Yes ,Disagree ,Neutral ,Rarely ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",No ,No ,,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/26/2025 22:10,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Strongly Agree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/14/2025 20:28,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp ",Yes ,Agree ,Agree ,Never  ,Yes ,Phishing emails requesting personal info     ,Sometimes  ,"Yes, regularly , ","Yes, frequently , ",Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/5/2025 12:11,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Twitter / X  / , Telegram ",Maybe ,Agree ,Strongly Disagree  ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ","Yes, always , ",Occasionally  ,Occasionally  ,Yes ,Yes ,Fake social media profile or friend request       ,Ignore or delete the message     ,Provide the requested information immediately    ,Always ,No ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/22/2025 4:26,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Strongly Agree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/11/2025 19:53,18–24     ,Male ,Student ,More than 8 hours   ,Instagram ,Yes ,Strongly Disagree  ,Strongly Disagree  ,Rarely ,Yes ,Malware links in emails or messages     ,Never  ,Occasionally  ,"Yes, frequently , ",Yes ,No ,Phishing email  ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Sometimes  ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
6/26/2025 15:12,18–24     ,Male ,Student ,Less than 2 hours   ,Facebook ,No ,Neutral ,Strongly Disagree  ,Never  ,Yes ,Phishing emails requesting personal info     ,Never  ,"Yes, regularly , ",Occasionally  ,No ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/3/2025 17:24,18–24     ,Male ,Job holder ,Less than 2 hours   ,Facebook ,Yes ,Strongly Disagree  ,Disagree ,"Yes, frequently , ",No ,Fake social media profiles/friend requests     ,Never  ,Rarely ,"Yes, frequently , ",Yes ,Yes ,Phishing email  ,Provide the information immediately     ,Ignore or delete the message     ,Sometimes  ,No ,Once a year  ,Yes ,,,,,,,,,,,,
7/17/2025 5:40,25–34     ,Male ,Student ,5–8 hours ,"Facebook , LinkedIn , WhatsApp , Telegram ",Yes ,Neutral ,Neutral ,Never  ,Yes ,Phishing emails requesting personal info     ,Never  ,Occasionally  ,"Yes, frequently , ",Yes ,No ,,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Rarely ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/7/2025 10:13,18–24     ,Male ,Student ,More than 8 hours   ,Facebook ,No ,Disagree ,Disagree ,Rarely ,Yes ,Phishing emails requesting personal info     ,Sometimes  ,Occasionally  ,Rarely ,No ,No ,Fake social media profile or friend request       ,Ignore or delete the message     ,Report it to the platform or authorities     ,Sometimes  ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/28/2025 23:19,18–24     ,Male ,Student ,5–8 hours ,Facebook ,Maybe ,Neutral ,Neutral ,Rarely ,No ,Fake social media profiles/friend requests     ,Sometimes  ,Occasionally  ,Occasionally  ,No ,No ,Fake website or app    ,Ignore or delete the message     ,Ignore or delete the message     ,Often ,No ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/25/2025 2:11,18–24     ,Male ,Student ,Less than 2 hours   ,"Facebook , WhatsApp ",No ,Strongly Disagree  ,Strongly Disagree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     ",Sometimes  ,"Yes, regularly , ",Never  ,Yes ,No ,Other please specify     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/9/2025 17:10,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , WhatsApp , Telegram , Other Please Specify",Yes ,Strongly Agree  ,Strongly Agree  ,Sometimes  ,Yes ,Malware links in emails or messages     ,Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
6/25/2025 18:53,18–24     ,Male ,Student ,5–8 hours ,"Twitter / X  / , WhatsApp , Telegram ",Yes ,Neutral ,Strongly Agree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Rarely ,Occasionally  ,Yes ,Yes ,Phishing email  ,Verify their identity through official university channels before responding         ,Ignore or delete the message     ,Sometimes  ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/3/2025 13:12,18–24     ,Male ,Job holder ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Agree ,Agree ,Sometimes  ,No ,None of the above   ,"Yes, always , ","Yes, regularly , ","Yes, frequently , ",Yes ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Sometimes  ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/16/2025 22:29,25–34     ,Male ,Student ,2–4 hours ,"Facebook , Instagram , Twitter / X  / , Telegram ",Yes ,Agree ,Disagree ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      ",Sometimes  ,"Yes, regularly , ",Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Provide the information immediately     ,Provide the requested information immediately    ,Sometimes  ,No ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/3/2025 5:46,18–24     ,Female ,Student ,More than 8 hours   ,Facebook ,No ,Disagree ,Agree ,Never  ,No ,None of the above   ,Sometimes  ,Occasionally  ,"Yes, frequently , ",Yes ,No ,Other ,Ignore or delete the message     ,Ignore or delete the message     ,Sometimes  ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/25/2025 0:14,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , Twitter / X  / , TikTok , LinkedIn , WhatsApp , Telegram , Other Please Specify",Maybe ,Strongly Disagree  ,Strongly Disagree  ,Never  ,No ,Malware links in emails or messages     ,"Yes, always , ",Never  ,"Yes, frequently , ",Yes ,No ,Phishing email  ,Provide the information immediately     ,Provide the requested information immediately    ,Always ,Yes ,Rarely or never    ,No ,,,,,,,,,,,,
7/10/2025 15:50,18–24     ,Female ,Student ,5–8 hours,"Facebook , Instagram , WhatsApp , Telegram ",No ,Neutral ,Disagree ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      ",Never  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Once a year  ,Yes ,,,,,,,,,,,,
6/29/2025 5:42,18–24     ,Female ,Student ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Yes ,Agree ,Strongly Agree  ,Rarely ,Yes ,Fake social media profiles/friend requests     ,Never  ,"Yes, regularly , ",Occasionally  ,No ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 1–3 months  – ,Yes ,,,,,,,,,,,,
7/14/2025 20:57,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , LinkedIn , WhatsApp , Telegram ",Maybe ,Neutral ,Strongly Disagree  ,Rarely ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Malware links in emails or messages     ",Rarely ,Rarely ,Rarely ,Yes ,No ,Fraudulent phone call or SMS     ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Often ,Yes ,Rarely or never    ,Yes ,,,,,,,,,,,,
7/13/2025 11:09,18–24     ,Male ,Job holder ,2–4 hours ,"Facebook , Instagram , WhatsApp , Telegram ",Maybe ,Strongly Agree  ,Neutral ,Sometimes  ,Yes ,None of the above   ,Sometimes  ,Rarely ,Occasionally  ,No ,No ,Other please specify     ,Ignore or delete the message     ,Ignore or delete the message     ,Rarely ,I don’t know what 2FA is  2FA   ,Rarely or never    ,No ,,,,,,,,,,,,
7/2/2025 12:03,18–24     ,Male ,Student ,5–8 hours ,"Facebook , TikTok ",Maybe ,Agree ,Strongly Disagree  ,Never  ,Yes ,"Phishing emails requesting personal info     , Phone calls impersonating official staff      , Fake social media profiles/friend requests     , Malware links in emails or messages     ",Never  ,Occasionally  ,Occasionally  ,Yes ,Yes ,Fake social media profile or friend request       ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
6/30/2025 9:27,18–24     ,Male ,Student ,5–8 hours ,"Facebook , Instagram , WhatsApp ",Yes ,Disagree ,Agree ,Rarely ,Yes ,Malware links in emails or messages     ,Rarely ,Occasionally  ,Occasionally  ,No ,Yes ,Fake website or app    ,Verify their identity through official university channels before responding         ,Report it to the platform or authorities     ,Sometimes  ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
7/10/2025 19:00,18–24     ,Male ,Student ,More than 8 hours   ,"Facebook , Instagram , LinkedIn , WhatsApp , Telegram ",No ,Agree ,Neutral ,Rarely ,Yes ,"Phishing emails requesting personal info     , Fake social media profiles/friend requests     ","Yes, always , ",Occasionally  ,"Yes, frequently , ",Yes ,Yes ,Fraudulent phone call or SMS     ,Ignore or delete the message     ,Ignore or delete the message     ,Always ,Yes ,Every 3–6 months  – ,Yes ,,,,,,,,,,,,
