What is your age group?,What is your gender?,What is your current occupation or professional status?,How many hours do you spend online daily?,Which social media platforms do you use regularly? Select all that apply.,Have you ever clicked on a suspicious or unknown link while browsing or using social media?,I usually trust people I interact with online,I click on links before verifying their source,"Do you tend to share personal information online quickly when prompted, without much thought?",Have you heard of social engineering or phishing as a cyber threat?,Which of the following do you recognize as social engineering tactics? Select all that apply.,"Do you regularly share personal details, e.g., birthday, location, phone number on social media profiles?",Do you review and adjust privacy settings on your social media accounts?,Have you ever used public Wi-Fi networks for accessing your personal or academic accounts?,"Have you ever received suspicious emails, messages, or calls asking for your personal or financial information?",Have you ever been a victim of an online scam or identity theft?,"If yes, what type of scam did you experience?","If someone claiming to be university staff asks for your login credentials via email or social media, what would you do?","If you receive a message offering a prize or gift but requires personal information, how would you respond?",Do you use unique passwords for different online accounts?,Do you enable two-factor authentication 2FA on your important accounts?,How frequently do you update your passwords?,Do you consent to your anonymized responses being used for academic research purposes?
25-34,Female,Unemployed,6-8 hours,"Facebook, Instagram, WhatsApp",Yes,Strongly Agree,Disagree,No,Yes,"Pretexting, Baiting",Yes,No,No,No,Yes,Online shopping fraud,Verify through official university channels first,Block the sender immediately,No,No,Monthly,Yes
18-24,Male,Employed,4-6 hours,"TikTok, Instagram, Snapchat",Yes,Neutral,Neutral,No,Yes,"Pretexting, Baiting",Yes,No,No,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,Yes,No,Rarely or never,Yes
18-24,Female,Employed,2-4 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",No,No,No,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,No,No,Monthly,Yes
35-50,Male,Unemployed,Less than 2 hours,"LinkedIn, Twitter, Facebook",No,Agree,Strongly Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",Yes,Yes,No,No,No,N/A,Contact the university directly to confirm,Report as spam or scam,Yes,Yes,Monthly,Yes
18-24,Male,Student,6-8 hours,"WhatsApp, Facebook, YouTube",Yes,Strongly Agree,Strongly Disagree,No,Yes,"Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Male,Student,4-6 hours,"YouTube, Instagram, Facebook",No,Strongly Disagree,Strongly Disagree,No,Yes,None of the above,Yes,Yes,No,No,Yes,Social media scam,Delete the message and report as phishing,Block the sender immediately,Yes,Yes,Every 6 months,Yes
18-24,Female,Self-employed,2-4 hours,"LinkedIn, Twitter, Facebook",Yes,Strongly Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",No,Yes,No,Yes,No,N/A,Delete the message and report as phishing,Block the sender immediately,No,No,Every 3 months,Yes
25-34,Female,Student,Less than 2 hours,"LinkedIn, Twitter, Facebook",No,Agree,Neutral,No,Yes,"Phishing emails, Pretexting",No,No,No,Yes,No,N/A,Verify through official university channels first,Ignore and delete the message,Yes,Yes,Every 6 months,Yes
18-24,Female,Employed,More than 8 hours,"WhatsApp, Facebook, YouTube",Yes,Disagree,Disagree,No,Yes,"Phishing emails, Baiting",Yes,Yes,Yes,Yes,Yes,Social media scam,Contact the university directly to confirm,Block the sender immediately,No,No,Rarely or never,Yes
Less than 18,Male,Employed,More than 8 hours,"WhatsApp, Facebook, YouTube",Yes,Agree,Strongly Agree,Yes,Yes,"Phishing emails, Baiting",No,No,Yes,Yes,Yes,Online shopping fraud,Verify through official university channels first,Block the sender immediately,Yes,No,Rarely or never,Yes
18-24,Female,Unemployed,2-4 hours,"YouTube, Instagram, Facebook",Yes,Agree,Neutral,No,Yes,"Pretexting, Baiting",No,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,No,Rarely or never,Yes
35-50,Female,Retired,6-8 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Neutral,No,Yes,Phishing emails,No,Yes,Yes,No,No,N/A,Delete the message and report as phishing,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Male,Student,More than 8 hours,"Facebook, Instagram, WhatsApp",No,Agree,Neutral,No,Yes,None of the above,No,No,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,Yes,No,Monthly,Yes
18-24,Female,Student,6-8 hours,"LinkedIn, Twitter, Facebook",No,Neutral,Neutral,No,No,"Phishing emails, Pretexting, Baiting",Yes,No,Yes,No,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,Yes,Rarely or never,Yes
18-24,Female,Student,6-8 hours,"Instagram, Twitter, LinkedIn",Yes,Strongly Agree,Neutral,No,Yes,"Phishing emails, Baiting",No,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,No,Yes,Monthly,Yes
35-50,Female,Student,4-6 hours,"WhatsApp, Facebook, YouTube",No,Strongly Disagree,Agree,No,Yes,All of the above,No,Yes,No,Yes,Yes,Online shopping fraud,Contact the university directly to confirm,Verify the legitimacy of the sender first,Yes,Yes,Rarely or never,Yes
35-50,Male,Employed,6-8 hours,"Instagram, Twitter, LinkedIn",Yes,Strongly Disagree,Neutral,Yes,Yes,None of the above,Yes,No,Yes,Yes,Yes,Phishing email,Contact the university directly to confirm,Report as spam or scam,Yes,No,Rarely or never,Yes
35-50,Female,Student,4-6 hours,"YouTube, Instagram, Facebook",No,Strongly Disagree,Agree,Yes,Yes,"Pretexting, Baiting",Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,No,Monthly,Yes
25-34,Female,Student,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Neutral,Strongly Disagree,No,Yes,Phishing emails,Yes,No,No,No,Yes,Phishing email,Ignore and report to university IT department,Ignore and delete the message,No,Yes,Rarely or never,Yes
25-34,Female,Student,6-8 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Strongly Disagree,No,Yes,Phishing emails,No,No,No,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,Yes,No,Monthly,Yes
35-50,Male,Employed,More than 8 hours,"Facebook, WhatsApp, Twitter",Yes,Strongly Disagree,Strongly Agree,No,Yes,"Phishing emails, Pretexting",No,Yes,Yes,Yes,Yes,Financial fraud,Verify through official university channels first,Verify the legitimacy of the sender first,No,Yes,Every 3 months,Yes
25-34,Female,Self-employed,More than 8 hours,"Facebook, WhatsApp, Twitter",No,Neutral,Neutral,No,Yes,Phishing emails,Yes,Yes,Yes,No,No,N/A,Delete the message and report as phishing,Report as spam or scam,No,Yes,Every 3 months,Yes
35-50,Female,Self-employed,6-8 hours,"TikTok, Instagram, Snapchat",No,Strongly Disagree,Disagree,Yes,No,"Phishing emails, Pretexting, Baiting",No,Yes,No,No,No,N/A,Contact the university directly to confirm,Report as spam or scam,No,No,Every 3 months,Yes
25-34,Male,Employed,More than 8 hours,"Instagram, TikTok, Snapchat",No,Strongly Agree,Disagree,No,Yes,"Phishing emails, Baiting",Yes,No,No,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,Yes,Yes,Every 6 months,Yes
25-34,Female,Student,More than 8 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Strongly Disagree,No,Yes,Phishing emails,Yes,No,No,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,No,Yes,Every 3 months,Yes
18-24,Male,Employed,Less than 2 hours,"TikTok, Instagram, Snapchat",Yes,Agree,Neutral,No,Yes,Phishing emails,Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,Yes,Rarely or never,Yes
Less than 18,Male,Student,More than 8 hours,"Instagram, TikTok, Snapchat",No,Strongly Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",Yes,No,No,No,Yes,Financial fraud,Delete the message and report as phishing,Verify the legitimacy of the sender first,Yes,No,Monthly,Yes
35-50,Male,Employed,6-8 hours,"YouTube, Instagram, Facebook",No,Strongly Disagree,Disagree,No,No,Phishing emails,No,Yes,No,No,No,N/A,Delete the message and report as phishing,Report as spam or scam,Yes,Yes,Monthly,Yes
Less than 18,Male,Student,2-4 hours,"Facebook, WhatsApp, Twitter",Yes,Strongly Agree,Strongly Disagree,No,No,"Phishing emails, Pretexting",No,No,No,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Female,Student,4-6 hours,"TikTok, Instagram, Snapchat",Yes,Neutral,Disagree,Yes,Yes,All of the above,Yes,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,Yes,Yes,Rarely or never,Yes
18-24,Female,Unemployed,4-6 hours,"TikTok, Instagram, Snapchat",No,Strongly Agree,Strongly Disagree,No,Yes,All of the above,Yes,No,No,No,No,N/A,Contact the university directly to confirm,Block the sender immediately,Yes,Yes,Monthly,Yes
18-24,Male,Employed,More than 8 hours,"LinkedIn, Twitter, Facebook",Yes,Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",No,No,Yes,No,No,N/A,Contact the university directly to confirm,Ignore and delete the message,No,Yes,Rarely or never,Yes
25-34,Female,Self-employed,2-4 hours,"Facebook, Instagram, WhatsApp",No,Strongly Agree,Agree,Yes,Yes,"Phishing emails, Baiting",No,No,Yes,No,No,N/A,Delete the message and report as phishing,Report as spam or scam,No,Yes,Monthly,Yes
25-34,Female,Student,6-8 hours,"TikTok, Instagram, Snapchat",Yes,Strongly Disagree,Neutral,Yes,Yes,"Phishing emails, Pretexting",Yes,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,Yes,Rarely or never,Yes
35-50,Female,Student,6-8 hours,"TikTok, Instagram, Snapchat",No,Disagree,Strongly Agree,Yes,Yes,None of the above,Yes,Yes,No,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,No,Yes,Rarely or never,Yes
18-24,Male,Employed,More than 8 hours,"Facebook, Instagram, WhatsApp",No,Disagree,Neutral,Yes,Yes,"Phishing emails, Baiting",Yes,No,No,Yes,No,N/A,Verify through official university channels first,Verify the legitimacy of the sender first,Yes,No,Every 3 months,Yes
25-34,Male,Student,More than 8 hours,"Instagram, Twitter, LinkedIn",No,Neutral,Agree,No,Yes,"Phishing emails, Baiting",Yes,Yes,No,No,No,N/A,Delete the message and report as phishing,Block the sender immediately,Yes,No,Monthly,Yes
25-34,Male,Employed,4-6 hours,"Instagram, Twitter, LinkedIn",No,Agree,Disagree,No,No,"Phishing emails, Baiting",No,No,No,Yes,No,N/A,Contact the university directly to confirm,Report as spam or scam,No,No,Every 3 months,Yes
25-34,Male,Self-employed,More than 8 hours,"YouTube, Instagram, Facebook",No,Strongly Disagree,Neutral,No,Yes,"Phishing emails, Pretexting",No,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,Yes,Rarely or never,Yes
25-34,Female,Self-employed,2-4 hours,"Facebook, WhatsApp, Twitter",No,Disagree,Strongly Disagree,No,Yes,None of the above,No,Yes,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,Yes,No,Every 3 months,Yes
25-34,Male,Student,4-6 hours,"Instagram, TikTok, Snapchat",No,Strongly Agree,Neutral,No,Yes,Phishing emails,No,No,Yes,No,No,N/A,Contact the university directly to confirm,Report as spam or scam,Yes,No,Rarely or never,Yes
35-50,Male,Self-employed,6-8 hours,"Facebook, WhatsApp, Twitter",No,Disagree,Agree,No,Yes,All of the above,Yes,No,Yes,No,No,N/A,Verify through official university channels first,Block the sender immediately,No,No,Every 3 months,Yes
18-24,Male,Employed,6-8 hours,"Facebook, Instagram, WhatsApp",Yes,Strongly Agree,Agree,Yes,No,"Phishing emails, Pretexting, Baiting",No,Yes,Yes,Yes,Yes,Social media scam,Ignore and report to university IT department,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
25-34,Male,Unemployed,More than 8 hours,"TikTok, Instagram, Snapchat",No,Strongly Disagree,Strongly Disagree,Yes,Yes,"Pretexting, Baiting",No,Yes,Yes,Yes,Yes,Financial fraud,Verify through official university channels first,Report as spam or scam,No,No,Monthly,Yes
35-50,Female,Employed,4-6 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Agree,Yes,Yes,Phishing emails,Yes,Yes,Yes,No,No,N/A,Delete the message and report as phishing,Report as spam or scam,Yes,No,Rarely or never,Yes
35-50,Male,Student,More than 8 hours,"Instagram, Twitter, LinkedIn",No,Disagree,Neutral,No,Yes,Phishing emails,No,Yes,Yes,No,No,N/A,Delete the message and report as phishing,Ignore and delete the message,Yes,No,Every 3 months,Yes
18-24,Male,Employed,More than 8 hours,"YouTube, Instagram, Facebook",No,Agree,Strongly Disagree,No,Yes,None of the above,No,No,No,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,Yes,No,Every 3 months,Yes
25-34,Female,Self-employed,6-8 hours,"TikTok, Instagram, Snapchat",No,Agree,Agree,No,No,All of the above,Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Every 6 months,Yes
25-34,Male,Self-employed,2-4 hours,"Instagram, TikTok, Snapchat",Yes,Agree,Agree,Yes,Yes,"Phishing emails, Pretexting, Baiting",Yes,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Ignore and delete the message,No,No,Rarely or never,Yes
25-34,Male,Employed,4-6 hours,"Instagram, Twitter, LinkedIn",Yes,Strongly Disagree,Neutral,Yes,Yes,"Phishing emails, Baiting",Yes,No,Yes,Yes,Yes,Identity theft,Contact the university directly to confirm,Report as spam or scam,No,No,Rarely or never,Yes
25-34,Male,Student,6-8 hours,"WhatsApp, Facebook, YouTube",No,Strongly Disagree,Strongly Disagree,No,Yes,Phishing emails,No,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,Yes,No,Every 6 months,Yes
35-50,Female,Employed,More than 8 hours,"WhatsApp, Facebook, YouTube",No,Strongly Disagree,Neutral,No,Yes,Phishing emails,Yes,Yes,Yes,No,Yes,Online shopping fraud,Delete the message and report as phishing,Report as spam or scam,Yes,No,Every 3 months,Yes
25-34,Female,Employed,Less than 2 hours,"Facebook, WhatsApp, Twitter",Yes,Agree,Agree,No,Yes,"Pretexting, Baiting",Yes,No,Yes,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,No,No,Every 6 months,Yes
18-24,Male,Employed,4-6 hours,"Facebook, WhatsApp, Twitter",No,Strongly Agree,Strongly Disagree,No,Yes,"Phishing emails, Pretexting",No,Yes,Yes,No,Yes,Phishing email,Contact the university directly to confirm,Block the sender immediately,Yes,Yes,Monthly,Yes
18-24,Male,Student,More than 8 hours,"YouTube, Instagram, Facebook",Yes,Strongly Agree,Strongly Agree,No,Yes,"Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,No,Monthly,Yes
18-24,Female,Student,4-6 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Disagree,Yes,Yes,"Pretexting, Baiting",Yes,No,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,Yes,Yes,Rarely or never,Yes
25-34,Male,Self-employed,More than 8 hours,"TikTok, Instagram, Snapchat",No,Strongly Disagree,Disagree,No,Yes,All of the above,No,No,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,No,Every 3 months,Yes
18-24,Female,Unemployed,Less than 2 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Strongly Agree,No,Yes,"Pretexting, Baiting",No,No,No,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,No,Rarely or never,Yes
18-24,Female,Retired,Less than 2 hours,"WhatsApp, Facebook, YouTube",No,Strongly Disagree,Disagree,Yes,Yes,"Phishing emails, Baiting",Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Every 6 months,Yes
35-50,Female,Student,2-4 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Strongly Agree,No,Yes,All of the above,Yes,No,Yes,Yes,Yes,Identity theft,Ignore and report to university IT department,Report as spam or scam,No,No,Every 3 months,Yes
18-24,Male,Student,4-6 hours,"Facebook, WhatsApp, Twitter",No,Neutral,Agree,Yes,Yes,Phishing emails,No,No,Yes,Yes,Yes,Financial fraud,Contact the university directly to confirm,Ignore and delete the message,No,No,Rarely or never,Yes
25-34,Male,Employed,4-6 hours,"YouTube, Instagram, Facebook",No,Strongly Agree,Disagree,No,Yes,"Phishing emails, Pretexting",Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Rarely or never,Yes
25-34,Male,Employed,4-6 hours,"Facebook, Instagram, WhatsApp",No,Strongly Disagree,Neutral,Yes,No,"Phishing emails, Baiting",No,Yes,Yes,No,No,N/A,Verify through official university channels first,Ignore and delete the message,Yes,No,Rarely or never,Yes
25-34,Female,Employed,4-6 hours,"Facebook, WhatsApp, Twitter",Yes,Neutral,Agree,No,Yes,"Phishing emails, Pretexting, Baiting",No,No,Yes,Yes,Yes,Online shopping fraud,Verify through official university channels first,Block the sender immediately,No,No,Rarely or never,Yes
25-34,Male,Student,More than 8 hours,"Instagram, Twitter, LinkedIn",Yes,Neutral,Disagree,Yes,Yes,None of the above,No,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,Yes,No,Monthly,Yes
25-34,Female,Employed,6-8 hours,"YouTube, Instagram, Facebook",No,Neutral,Strongly Agree,No,Yes,"Phishing emails, Pretexting",Yes,No,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,Yes,Every 6 months,Yes
35-50,Male,Employed,2-4 hours,"Instagram, TikTok, Snapchat",Yes,Disagree,Strongly Disagree,Yes,No,"Phishing emails, Pretexting, Baiting",Yes,Yes,No,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,No,Monthly,Yes
25-34,Male,Employed,More than 8 hours,"Facebook, WhatsApp, Twitter",Yes,Strongly Agree,Strongly Agree,Yes,Yes,All of the above,No,Yes,Yes,No,No,N/A,Contact the university directly to confirm,Block the sender immediately,No,No,Every 6 months,Yes
35-50,Male,Employed,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Strongly Agree,Agree,No,Yes,"Phishing emails, Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Ignore and delete the message,No,No,Rarely or never,Yes
Less than 18,Female,Student,2-4 hours,"Facebook, WhatsApp, Twitter",Yes,Neutral,Disagree,Yes,Yes,"Phishing emails, Baiting",No,No,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,No,Every 3 months,Yes
18-24,Female,Student,6-8 hours,"Facebook, WhatsApp, Twitter",Yes,Strongly Agree,Strongly Disagree,No,Yes,None of the above,Yes,Yes,No,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,No,Yes,Monthly,Yes
Less than 18,Female,Student,More than 8 hours,"Facebook, Instagram, WhatsApp",No,Agree,Disagree,No,No,"Phishing emails, Pretexting",Yes,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Report as spam or scam,No,No,Rarely or never,Yes
18-24,Female,Employed,More than 8 hours,"Instagram, Twitter, LinkedIn",No,Strongly Agree,Disagree,No,Yes,"Phishing emails, Pretexting, Baiting",No,No,Yes,No,No,N/A,Ignore and report to university IT department,Report as spam or scam,Yes,Yes,Every 3 months,Yes
Less than 18,Female,Student,2-4 hours,"LinkedIn, Twitter, Facebook",No,Strongly Agree,Neutral,No,Yes,"Phishing emails, Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,Yes,Yes,Rarely or never,Yes
18-24,Female,Self-employed,6-8 hours,"TikTok, Instagram, Snapchat",Yes,Neutral,Strongly Disagree,No,Yes,"Phishing emails, Baiting",Yes,No,No,No,No,N/A,Verify through official university channels first,Block the sender immediately,Yes,No,Every 6 months,Yes
25-34,Female,Employed,2-4 hours,"Instagram, TikTok, Snapchat",No,Strongly Agree,Neutral,Yes,Yes,Phishing emails,No,No,No,No,Yes,Financial fraud,Ignore and report to university IT department,Ignore and delete the message,No,No,Monthly,Yes
18-24,Male,Employed,6-8 hours,"Facebook, WhatsApp, Twitter",Yes,Strongly Agree,Strongly Disagree,No,No,"Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Verify the legitimacy of the sender first,Yes,No,Monthly,Yes
18-24,Female,Employed,6-8 hours,"LinkedIn, Twitter, Facebook",No,Strongly Disagree,Strongly Disagree,Yes,Yes,"Phishing emails, Baiting",Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Verify the legitimacy of the sender first,Yes,No,Every 3 months,Yes
18-24,Female,Employed,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Agree,Disagree,No,Yes,Phishing emails,No,No,No,No,No,N/A,Verify through official university channels first,Ignore and delete the message,Yes,No,Every 3 months,Yes
25-34,Male,Student,2-4 hours,"YouTube, Instagram, Facebook",Yes,Disagree,Disagree,No,Yes,All of the above,No,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Report as spam or scam,Yes,Yes,Monthly,Yes
25-34,Male,Student,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Agree,Disagree,No,Yes,None of the above,Yes,Yes,Yes,Yes,Yes,Online shopping fraud,Delete the message and report as phishing,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
25-34,Female,Student,More than 8 hours,"Facebook, Instagram, WhatsApp",Yes,Strongly Agree,Disagree,Yes,Yes,"Phishing emails, Pretexting, Baiting",Yes,Yes,Yes,Yes,Yes,Social media scam,Ignore and report to university IT department,Ignore and delete the message,No,No,Every 3 months,Yes
25-34,Female,Student,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Strongly Disagree,Yes,Yes,"Phishing emails, Baiting",Yes,Yes,Yes,No,No,N/A,Verify through official university channels first,Block the sender immediately,No,Yes,Every 3 months,Yes
25-34,Male,Employed,6-8 hours,"TikTok, Instagram, Snapchat",No,Strongly Agree,Agree,No,Yes,"Pretexting, Baiting",Yes,No,Yes,No,No,N/A,Delete the message and report as phishing,Ignore and delete the message,Yes,No,Every 3 months,Yes
18-24,Female,Employed,6-8 hours,"Instagram, Twitter, LinkedIn",Yes,Strongly Agree,Strongly Agree,No,Yes,"Phishing emails, Baiting",Yes,No,No,No,No,N/A,Contact the university directly to confirm,Ignore and delete the message,No,Yes,Monthly,Yes
18-24,Female,Student,4-6 hours,"WhatsApp, Facebook, YouTube",Yes,Agree,Agree,Yes,Yes,Phishing emails,No,No,Yes,No,Yes,Identity theft,Ignore and report to university IT department,Ignore and delete the message,No,No,Rarely or never,Yes
25-34,Male,Self-employed,4-6 hours,"Instagram, TikTok, Snapchat",No,Neutral,Neutral,Yes,No,All of the above,Yes,No,No,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,No,No,Monthly,Yes
25-34,Male,Employed,2-4 hours,"Instagram, Twitter, LinkedIn",No,Agree,Strongly Disagree,Yes,Yes,"Phishing emails, Pretexting",No,Yes,Yes,Yes,No,N/A,Verify through official university channels first,Block the sender immediately,No,Yes,Monthly,Yes
25-34,Male,Student,2-4 hours,"LinkedIn, Twitter, Facebook",Yes,Strongly Agree,Agree,Yes,Yes,"Phishing emails, Pretexting",Yes,Yes,Yes,Yes,No,N/A,Ignore and report to university IT department,Block the sender immediately,No,Yes,Monthly,Yes
18-24,Male,Unemployed,6-8 hours,"WhatsApp, Facebook, YouTube",No,Disagree,Strongly Disagree,No,No,"Phishing emails, Pretexting, Baiting",Yes,No,No,No,Yes,Online shopping fraud,Contact the university directly to confirm,Report as spam or scam,Yes,Yes,Every 3 months,Yes
25-34,Female,Student,4-6 hours,"Instagram, TikTok, Snapchat",Yes,Agree,Strongly Disagree,Yes,Yes,None of the above,No,Yes,Yes,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,No,Every 6 months,Yes
25-34,Female,Student,6-8 hours,"Facebook, Instagram, WhatsApp",No,Agree,Agree,No,Yes,Phishing emails,Yes,Yes,No,Yes,No,N/A,Delete the message and report as phishing,Block the sender immediately,No,No,Every 6 months,Yes
18-24,Male,Student,6-8 hours,"Instagram, Twitter, LinkedIn",No,Strongly Agree,Disagree,Yes,Yes,"Phishing emails, Baiting",Yes,Yes,No,Yes,No,N/A,Delete the message and report as phishing,Ignore and delete the message,No,Yes,Every 6 months,Yes
18-24,Female,Employed,2-4 hours,"Facebook, WhatsApp, Twitter",Yes,Agree,Agree,No,No,"Phishing emails, Pretexting, Baiting",No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,No,Every 6 months,Yes
18-24,Male,Student,More than 8 hours,"Facebook, Instagram, WhatsApp",No,Strongly Disagree,Strongly Agree,No,Yes,Phishing emails,Yes,No,Yes,Yes,No,N/A,Delete the message and report as phishing,Report as spam or scam,Yes,Yes,Rarely or never,Yes
Less than 18,Male,Student,4-6 hours,"Instagram, TikTok, Snapchat",Yes,Strongly Disagree,Strongly Agree,No,Yes,Phishing emails,Yes,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Ignore and delete the message,Yes,No,Monthly,Yes
18-24,Female,Employed,4-6 hours,"LinkedIn, Twitter, Facebook",Yes,Strongly Agree,Disagree,Yes,Yes,"Phishing emails, Baiting",No,No,No,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,Yes,No,Every 3 months,Yes
35-50,Female,Employed,More than 8 hours,"Facebook, Instagram, WhatsApp",No,Strongly Disagree,Neutral,Yes,Yes,"Phishing emails, Pretexting",Yes,No,Yes,Yes,Yes,Identity theft,Verify through official university channels first,Ignore and delete the message,No,No,Rarely or never,Yes
35-50,Male,Employed,2-4 hours,"TikTok, Instagram, Snapchat",Yes,Disagree,Disagree,No,No,All of the above,No,Yes,Yes,No,No,N/A,Ignore and report to university IT department,Ignore and delete the message,Yes,Yes,Every 3 months,Yes
Less than 18,Female,Unemployed,2-4 hours,"WhatsApp, Facebook, YouTube",Yes,Strongly Agree,Agree,Yes,Yes,None of the above,Yes,No,Yes,Yes,No,N/A,Ignore and report to university IT department,Report as spam or scam,Yes,No,Every 6 months,Yes
18-24,Male,Self-employed,6-8 hours,"LinkedIn, Twitter, Facebook",Yes,Agree,Disagree,Yes,Yes,"Phishing emails, Pretexting",No,No,Yes,Yes,No,N/A,Contact the university directly to confirm,Verify the legitimacy of the sender first,No,No,Rarely or never,Yes
25-34,Male,Employed,4-6 hours,"Facebook, WhatsApp, Twitter",No,Agree,Disagree,No,Yes,"Phishing emails, Pretexting",No,No,No,Yes,Yes,Financial fraud,Ignore and report to university IT department,Block the sender immediately,Yes,Yes,Every 6 months,Yes
35-50,Female,Employed,2-4 hours,"LinkedIn, Twitter, Facebook",Yes,Disagree,Agree,Yes,No,"Phishing emails, Pretexting, Baiting",Yes,Yes,No,Yes,Yes,Online shopping fraud,Verify through official university channels first,Verify the legitimacy of the sender first,No,No,Every 6 months,Yes
35-50,Male,Student,6-8 hours,"Instagram, Twitter, LinkedIn",No,Strongly Disagree,Agree,No,Yes,All of the above,No,No,Yes,Yes,Yes,Financial fraud,Delete the message and report as phishing,Verify the legitimacy of the sender first,Yes,Yes,Every 6 months,Yes
25-34,Female,Student,More than 8 hours,"LinkedIn, Twitter, Facebook",Yes,Agree,Strongly Agree,No,Yes,"Phishing emails, Pretexting",Yes,No,Yes,Yes,No,N/A,Verify through official university channels first,Report as spam or scam,No,No,Every 3 months,Yes
35-50,Female,Employed,2-4 hours,"Instagram, Twitter, LinkedIn",No,Agree,Disagree,No,Yes,"Pretexting, Baiting",Yes,Yes,Yes,Yes,No,N/A,Contact the university directly to confirm,Block the sender immediately,Yes,Yes,Rarely or never,Yes
